,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
404,Camocim,BR,77.5,scattered clouds,-2.9022,-40.8411,Hotel Camocim
405,Okato,NZ,76.17,broken clouds,-39.2,173.8833,Stony River Boutique Hotel
409,Durban,ZA,71.02,broken clouds,-29.8579,31.0292,Tudor
411,Cordoba,AR,76.75,clear sky,-31.4135,-64.1811,Hotel Garden
413,Hervey Bay,AU,77.72,clear sky,-25.2986,152.8535,Hervey Bay Hotel
415,Vila Do Maio,CV,74.3,broken clouds,15.1333,-23.2167,Residencial Jardins De Maio
429,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,losmen Surya
430,Santa Maria,BR,70.9,clear sky,-29.6842,-53.8069,Hotel Morotin
432,Tual,ID,83.59,overcast clouds,-5.6667,132.75,Suita
475,Cayenne,GF,73.44,light rain,4.9333,-52.3333,Central Hôtel
476,Ambilobe,MG,73.09,broken clouds,-13.2,49.05,Hôtel National
483,Pontianak,ID,84.18,broken clouds,-0.0333,109.3333,Golden Tulip Hotel
494,Richards Bay,ZA,70.29,broken clouds,-28.783,32.0377,Protea Hotel
496,Sibolga,ID,81.18,overcast clouds,1.7427,98.7792,Hotel Prima Indah
500,La Asuncion,VE,76.73,light rain,11.0333,-63.8628,Hotel La Ciudad
506,Vao,NC,76.5,clear sky,-22.6667,167.4833,Nataiwatch
511,Omboue,GA,75.15,light rain,-1.5746,9.2618,Georges Faustin Aurat
517,Imbituba,BR,73.06,overcast clouds,-28.24,-48.6703,Silvestre Praia Hotel
525,Ribas Do Rio Pardo,BR,71.02,moderate rain,-20.4431,-53.7592,Hotel São Francisco
528,Acapulco,MX,78.62,scattered clouds,16.8634,-99.8901,Hotel del Valle
540,Champerico,GT,78.01,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
543,Neiafu,TO,86.68,moderate rain,-18.65,-173.9833,Port Wine Guest House
545,Lorengau,PG,83.23,broken clouds,-2.0226,147.2712,Seeadler Bay Hotel
551,Maragogi,BR,77.22,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
553,Batemans Bay,AU,70.11,broken clouds,-35.7167,150.1833,Esplanade Hotel
555,Takoradi,GH,77.38,few clouds,4.8845,-1.7554,Hillcrest
556,Moerai,PF,78.76,moderate rain,-22.4333,-151.3333,Manotel Rurutu
557,Te Anau,NZ,75.11,overcast clouds,-45.4167,167.7167,Lakeside Motels & Apartments
560,Alto Araguaia,BR,70.2,moderate rain,-17.3147,-53.2153,Hotel Araguaia
565,Bom Jesus,BR,72.09,scattered clouds,-9.0744,-44.3586,Hotel Brasão
571,Wajir,KE,73.53,few clouds,1.7471,40.0573,Kilimanjaro
572,Ishigaki,JP,73.53,scattered clouds,24.3448,124.1572,アートホテル石垣島
573,Rio Cuarto,AR,71.37,clear sky,-33.1307,-64.3499,Marluc
575,Morant Bay,JM,78.42,clear sky,17.8815,-76.4093,Morant Villas
577,Sabang,ID,79.83,overcast clouds,5.8933,95.3214,Sabang Hill
583,Mabaruma,GY,72.46,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
588,Porto Novo,BJ,72.18,scattered clouds,6.4965,2.6036,Hôtel 6500 CFA
593,Vila Velha,BR,72.95,few clouds,-20.3297,-40.2925,Hotel Prainha
